País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Chile,0.0,0.0,0.0,0.0,0.0105,0.0523,0.1308,1.1927,5.1108,14.8774,27.7775,43.7116,61.2046,83.9288,129.7015,192.0361,304.2812,485.7398,693.3804,917.3632,1144.2022,1311.8035,1461.5509,1574.68,1671.3206,1750.782,1829.8615,1898.7141,1970.1404,2027.0869
China,0.3827,1.6471,3.0838,5.156,5.4021,5.5763,5.6198,5.6317,5.6687,5.7165,5.747,5.7879,5.8259,5.8319,5.8339,5.8373,5.8405,5.8432,5.8473,5.8498,5.8654,5.8814,5.8906,5.8998,5.9213,5.9547,6.0438,6.1283,6.1805,6.2141
Colômbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.1474,0.7429,1.7806,3.4982,5.8546,8.154,11.6916,16.9271,24.1181,33.2823,45.2077,62.5613,82.6958,107.9557,144.5908,192.2965,244.6677,314.2471,414.7524,525.491,658.3333,806.6621,936.7785
Comores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345,1.2649,1.2649,10.0046,15.1794,16.2143,22.6541,30.4737,34.8436,35.7635,36.9135,38.7534,40.7083,44.6182,45.8831,46.5731
República do Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,0.0725,0.3443,0.8155,1.0873,2.9902,3.7513,4.2768,6.0347,7.6113,8.8255,11.0727,13.193,16.0019,19.6989,19.6989,28.2163,36.7519,51.6665,57.9911,64.2614,67.8677,69.4262
República Democrática do Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0502,0.1094,0.201,0.2691,0.3908,0.5259,0.7872,1.2304,1.8189,2.6831,3.7137,4.7554,5.5537,6.7295,7.8594,8.2982,9.0832,9.5287,9.9072,10.2477,10.6061,10.8373
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.1767,0.8048,3.4746,6.8118,9.4815,12.1316,13.1328,13.8395,14.821,15.7829,17.3141,18.7667,21.6917,26.9919,35.2563,46.485,67.9018,107.6928,166.5058,231.8556,320.8406,389.4099,481.1039,570.933
Costa do Marfim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.2767,0.6786,1.3231,2.4187,3.4726,4.4848,5.55,7.0399,8.162,9.3903,11.464,15.145,21.5291,29.9641,36.0107,42.4364,49.4232,55.087,59.568,61.7667,63.867,64.8526
Croácia,0.0,0.0,0.0,0.0,0.0244,0.2192,0.341,1.5833,9.3051,21.1192,31.2282,41.5077,46.4769,49.8628,51.4461,53.7602,54.3692,54.6615,54.7102,54.7346,54.9294,57.6333,67.6448,79.7025,93.2217,107.7153,119.9191,129.5409,139.8204,162.1332
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441,0.4238,1.6421,3.4962,6.7628,10.0383,12.6869,14.8765,15.9271,16.6599,17.3309,18.4698,19.4674,20.0678,20.4651,20.6681,21.1449,21.4715,21.6216,22.5575,23.8465,27.3074,29.7
