País Português,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
Bolívia,0.0171,0.0171,0.0257,0.0857,0.0857,0.0942,0.0942,0.1028,0.1028,0.1285,0.1628,0.2056,0.2313,0.2484,0.2741,0.3684,0.5226,0.6339,0.6939,0.831,0.9166,0.9852,1.0537,1.1308,1.1908,1.345,1.5677,1.662,1.799,2.2616,2.2959,2.3559,2.57,2.827,3.0326,3.401,3.7779,3.9835,4.2234,4.4547,4.8317,5.1229,5.2172,6.0224,6.9134,7.4188,8.1384,8.6867,9.0208,9.5091,9.9974,10.5286,12.5931,13.6554,14.4007,15.4373,16.1569,17.8274,19.4123,20.8772,21.8966,24.2525,25.3919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bósnia e Herzegovina,0.061,0.061,0.0914,0.0914,0.0914,0.1524,0.2134,0.3353,0.3962,0.5486,0.7315,0.762,0.7925,1.1582,1.9203,2.7127,2.8347,3.8405,4.1453,5.0597,5.3645,5.8217,7.2238,7.8639,9.8451,11.2167,12.8017,13.9904,16.2459,17.648,19.0196,19.934,20.5437,23.2869,24.5061,26.152,27.4627,28.8343,30.7545,31.608,33.0101,33.833,35.5704,37.003,38.6489,39.167,39.8986,40.9044,41.6969,43.0685,43.3124,45.2936,46.208,47.7015,48.3111,51.1153,53.5537,54.2852,56.0531,56.6017,58.7049,59.3145,60.5641,61.7834,63.094,63.7036,64.5266,65.2581,65.7763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0.1276,0.1701,0.1701,0.1701,0.1701,0.1701,0.2551,0.2551,0.2551,0.2551,0.5528,0.5528,0.5528,0.5528,0.5528,0.5528,0.5528,0.6379,0.6379,0.6379,0.8505,0.8505,0.8505,0.9355,0.9355,0.9355,0.9355,0.9355,0.9355,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,1.0206,1.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasil,0.0005,0.0005,0.0005,0.0009,0.0009,0.0009,0.0009,0.0019,0.0019,0.0061,0.0061,0.0094,0.0118,0.0146,0.0179,0.0245,0.071,0.071,0.0762,0.0941,0.151,0.175,0.2922,0.3731,0.4803,0.7273,0.9052,1.0571,1.2015,1.4043,1.6076,1.8367,2.0023,2.1542,2.6896,3.216,3.7844,4.2605,4.8739,5.2362,5.7212,6.6024,7.6073,8.5115,9.2388,9.7512,10.4404,11.0228,11.8847,13.3233,14.3136,15.8459,17.246,18.185,19.1678,20.2668,21.5267,23.5398,25.4249,27.9094,29.6858,31.7304,34.4539,37.4883,41.0177,43.377,45.6813,47.9047,51.101,54.3166,59.565,63.8753,69.1073,73.4199,76.5428,79.7866,83.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0.2286,0.2286,2.5144,2.5144,8.4575,9.1433,11.4291,12.3434,12.8006,15.5436,17.1437,17.8294,18.9723,20.1153,20.801,23.7726,24.9155,26.0584,26.287,27.4299,28.8014,29.03,29.4871,29.9443,30.4015,30.63,30.8586,30.8586,30.8586,30.8586,30.8586,30.8586,31.0872,31.0872,31.0872,31.0872,31.0872,31.0872,31.0872,31.0872,31.3158,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.5444,31.773,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgária,0.0576,0.0576,0.0576,0.1007,0.1007,0.331,0.5901,0.734,0.7484,0.9642,1.324,1.3528,1.8277,2.3458,2.6912,2.8927,3.1374,3.4828,3.7994,4.2168,4.7637,4.9795,5.1666,5.7423,6.0733,6.577,6.98,7.239,7.642,7.901,8.304,8.5343,8.8941,9.1387,9.5129,9.7144,9.8583,10.2613,10.7506,11.5134,12.1754,12.6359,12.8662,13.3699,14.0319,14.7371,15.7877,17.7594,17.9465,18.7092,19.6159,20.134,20.8248,21.6739,22.3791,22.9404,23.2858,23.7751,24.5235,25.5885,26.3224,26.9413,27.6465,28.2797,28.6395,29.1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0.0048,0.0096,0.0096,0.0096,0.0096,0.0144,0.0718,0.0718,0.0957,0.1579,0.1914,0.3062,0.3588,0.4736,0.5454,0.6985,0.7272,0.8611,0.9903,1.062,1.1768,1.2486,1.3491,1.3778,1.4447,1.5213,1.6505,1.7414,1.837,1.9806,2.1193,2.1193,2.3154,2.3776,2.3776,2.5259,2.5929,2.612,2.6647,2.7029,2.7555,2.7795,2.8704,2.9134,2.9469,3.0091,3.0091,3.0234,3.0378,3.0522,3.0665,3.0856,3.1048,3.1191,3.167,3.2148,3.2914,3.4875,3.521,3.5593,3.5784,3.5927,3.6358,3.6645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,0.0147,0.0147,0.0184,0.0257,0.0276,0.0276,0.0368,0.0368,0.0386,0.0386,0.0404,0.0404,0.0404,0.0423,0.0496,0.0698,0.0754,0.114,0.1158,0.136,0.1562,0.1617,0.1801,0.204,0.2187,0.2224,0.2261,0.2555,0.2647,0.2683,0.2683,0.2683,0.2757,0.2757,0.2775,0.2775,0.2775,0.2849,0.2959,0.2959,0.2959,0.3235,0.3253,0.3271,0.3308,0.3308,0.3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0.0168,0.0168,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,0.1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,0.1799,0.5396,0.5396,0.5396,0.5396,0.7194,0.7194,0.8993,0.8993,1.0792,1.0792,1.0792,1.0792,1.0792,1.0792,1.259,1.259,1.259,1.259,1.259,1.259,1.259,1.4389,1.4389,1.7986,1.9785,10.0722,10.0722,10.0722,10.4319,10.9715,12.0506,12.2305,13.1298,14.7485,15.8277,16.1874,19.0652,19.6048,20.5041,20.5041,21.7631,21.943,27.3388,29.677,31.4756,33.454,34.3533,39.2095,41.3679,42.447,44.2456,46.7637,48.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
