País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Egito,0.001,0.001,0.0029,0.0655,0.2502,0.4837,0.8453,1.6602,2.612,3.8022,5.4107,7.7989,10.582,14.6608,20.3187,29.088,38.8198,49.2865,59.7355,69.6726,77.4461,83.8144,88.3505,91.6183,92.8388,93.9156,,,,
El Salvador,0.1388,0.4934,1.4338,2.4514,3.6539,5.8123,9.7592,15.9878,24.2206,32.5152,41.7039,50.4764,62.6869,79.3993,103.8512,132.0649,164.1175,200.0399,244.226,288.3196,333.6928,339.0735,,,,,,,,
Guiné Equatorial,0.4277,0.8553,1.1404,1.283,5.6309,18.3894,22.4521,31.2904,42.3383,68.4255,93.0872,93.0872,93.0872,118.6043,142.6245,218.8904,218.8904,218.8904,218.8904,343.6245,343.6245,343.6245,,,,,,,,
Eritreia,0.1692,0.6203,0.9587,0.9869,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.1561,4.004,4.709,6.0625,6.5418,7.0776,7.3595,7.8671,8.0363,8.0363,,,,,,,,,
Estónia,0.1508,1.2061,19.4492,30.4553,58.7244,89.3305,105.5381,117.5242,125.5904,129.1334,131.998,135.2396,138.7072,141.7226,147.6026,149.0349,149.4872,149.9395,150.9949,151.9749,152.6533,153.9349,159.2872,163.8856,163.8856,,,,,
Essuatíni,0.0862,0.7758,0.7758,1.0343,1.3791,3.103,9.1366,13.705,16.377,19.3938,24.0483,26.2894,40.6839,53.6993,62.7497,78.351,108.3468,139.5492,178.6816,228.2436,261.6871,310.2148,,,,,,,,
Etiópia,0.0052,0.0104,0.0252,0.0487,0.08,0.1009,0.1139,0.1661,0.2366,0.3471,0.7228,1.4231,2.3225,3.4393,4.5014,5.0851,6.0654,7.3719,10.3798,14.4524,18.1797,22.7933,,,,,,,,
Fiji,0.5578,0.5578,1.6733,1.7848,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.3426,2.9003,3.0119,3.0119,3.0119,3.0119,3.1234,,,,,,,,
Finlândia,0.018,0.018,0.018,0.018,0.1083,0.7219,5.7935,14.2942,25.5923,41.6552,57.0503,72.4455,85.5484,97.6768,108.3433,115.4904,119.6234,124.2979,126.7886,128.3588,129.1348,130.1997,131.066,131.7699,132.6723,133.6288,135.0546,137.5814,138.6643,
França,0.0077,0.0092,0.0169,0.0184,0.0582,0.5822,3.5129,16.8062,45.2726,91.8121,133.846,223.7891,242.5226,258.9917,267.977,274.2215,278.7517,285.5124,290.6248,295.4016,300.1217,304.2689,311.9795,317.6725,323.4114,331.9371,340.8259,354.3704,373.9587,
Gabão,0.1348,0.3145,0.9435,1.9769,4.8523,7.7278,12.4004,27.856,54.3192,77.6373,117.3995,139.3248,155.5891,198.9456,234.0352,252.501,266.9681,283.7266,313.7841,330.318,355.9725,362.8915,,,,,,,,
Gâmbia,0.0828,0.1655,0.1655,0.3724,0.4138,0.4138,0.7034,0.9103,0.9931,1.0345,1.0345,1.1586,1.2414,1.6966,1.9448,2.5241,2.6483,4.6345,13.4896,20.6069,51.1034,64.3862,,,,,,,,
Geórgia,0.0752,0.376,0.8523,1.7548,2.7575,4.9133,7.5204,10.2277,12.8097,15.141,16.0936,17.723,18.3497,19.954,20.5055,22.0347,22.8368,23.263,24.015,25.0428,26.2962,28.7027,29.6302,31.6858,32.1621,,,,,
