País Português,22/01/20,23/01/20,24/01/20,25/01/20,26/01/20,27/01/20,28/01/20,29/01/20,30/01/20,31/01/20,01/02/20,02/02/20,03/02/20,04/02/20,05/02/20,06/02/20,07/02/20,08/02/20,09/02/20,10/02/20,11/02/20,12/02/20,13/02/20,14/02/20,15/02/20,16/02/20,17/02/20,18/02/20,19/02/20,20/02/20,21/02/20,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20
Líbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0146,0.0146,0.0146,0.0437,0.1164,0.1164,0.1455,0.1455,0.1601,0.1601,0.262,0.262,0.2765,0.2911,0.3056,0.3493,0.3493,0.3493,0.3638,0.3784,0.5094,0.6986,0.7131,0.7131,0.7131,0.7422,0.7422,0.7422,0.8586,0.8732,0.8878,0.8878,0.8878,0.8878,0.8878,0.8878,0.8878,0.9169,0.9169,0.9169,0.9169,0.9169,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.9314,0.946,0.946,0.946,0.9896,1.0042,1.0333,1.0478,1.0915,1.0915,1.0915,1.1206,1.4408,1.5281,1.7173,1.8919,2.2703,2.445,2.6487,2.8524,3.0416,3.4782,3.7256,3.7256,4.8317,5.2246,5.5011,5.7194,5.9523,6.0833,6.6072,6.7964,7.0438,7.2767,7.4222,7.5677,7.917,8.3099,8.6592,9.2996,9.7507,10.1582,10.3765,10.5803,11.0896,11.6717,11.9919,12.7196,12.967,13.3599,14.3932,15.2228,16.256,17.202,18.4536,19.5305,19.5305,20.2145,20.8549,22.0046,22.7468,23.1252
Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,10.491,10.491,10.491,18.3592,73.4368,73.4368,73.4368,97.0415,97.0415,133.76,133.76,133.76,146.8737,146.8737,146.8737,146.8737,162.6102,178.3466,178.3466,196.7058,196.7058,201.9513,201.9513,201.9513,204.5741,204.5741,204.5741,207.1968,207.1968,207.1968,207.1968,207.1968,207.1968,207.1968,207.1968,207.1968,212.4423,212.4423,212.4423,212.4423,212.4423,212.4423,212.4423,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,217.6878,225.556,215.065,215.065,215.065,215.065,215.065,215.065,215.065,215.065,217.6878,217.6878,217.6878,217.6878,220.3105,220.3105,220.3105,220.3105,220.3105,220.3105,220.3105,220.3105,220.3105,220.3105
Lituânia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0367,0.0367,0.0367,0.0367,0.0367,0.0367,0.0367,0.0367,0.0367,0.0367,0.0367,0.0367,0.1102,0.1102,0.2204,0.2939,0.4408,0.6245,0.9183,0.9918,1.3224,1.8,3.0489,5.2529,6.5753,7.6774,10.0651,10.9834,13.1507,14.4731,16.8975,18.0363,19.726,21.3423,23.8402,25.5667,28.3218,29.7911,30.9666,32.3257,33.5012,35.0808,36.6971,37.6889,38.6807,39.0113,39.3052,40.0766,41.4357,42.2071,45.5132,47.6805,48.709,49.5906,50.3253,51.3538,51.7946,52.3824,52.8232,53.2273,49.3702,50.509,50.8763,51.3906,51.6477,51.7946,52.1253,52.2722,52.4559,52.6395,52.7497,53.0436,54.3293,54.5497,54.7701,55.2844,55.5048,55.9456,56.3496,56.6068,56.8272,57.3782,57.9292,58.5169,58.921,59.3618,59.6189,60.0598,60.2067,60.5006,60.8312,61.0516,61.3454,61.5291,61.6393,61.7862,61.8597,61.9699,62.227,62.6311,62.9617,63.1821,63.4393,63.6597,64.3576,64.5045,64.7617,64.9453,65.129,65.2392,65.3127,65.5331,65.827,65.9372,66.0474,66.1576,66.231,66.2678,66.3412,66.4147,66.5984,66.6718,66.7086,66.7453,66.782,67.0392,67.1494,67.2596,67.4432,67.6269,67.7371,68.1045,68.2147,68.3616,68.5085,68.6555,68.8391,68.8759,69.133
Luxemburgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1598,0.1598,0.1598,0.1598,0.1598,0.1598,0.3195,0.3195,0.4793,0.4793,0.7988,1.1183,3.0353,5.4315,8.1473,9.4253,12.3008,22.365,32.4293,53.5163,77.319,107.0325,127.4805,139.7813,175.5653,212.9468,232.1168,256.3988,292.5023,311.5125,317.583,347.9356,370.4603,397.2983,417.2671,435.9578,447.9391,454.1693,474.4576,484.6816,497.6213,514.8743,522.3826,524.1398,525.8971,528.2933,538.8368,550.1791,555.9301,565.0358,567.1126,568.3906,577.9756,583.7266,585.4838,590.2763,592.8323,594.7493,595.7078,597.6248,602.0978,604.4941,607.3696,608.9671,610.8841,611.5231,613.4401,615.1973,616.4753,618.3923,619.3508,620.7886,621.1081,622.0666,623.6641,625.4213,626.6993,627.8176,630.2138,630.5333,632.2906,634.3673,635.8051,635.9648,637.4026,637.7221,637.8818,638.2013,639.1598,640.2781,640.9171,641.5561,641.8756,642.0353,642.1951,642.8341,643.3133,644.1121,644.5913,645.2303,645.3901,646.3486,646.8278,647.3071,647.7863,649.0643,650.1826,650.5021,650.9813,652.5788,653.5373,654.8153,655.7738,658.1701,658.3298,660.2468,661.3651,663.1223,666.6368,673.6658,677.6596,679.8961,686.7653,694.1139,702.1014,710.4084,715.0411,722.3896,725.5846,735.3294,742.8376,753.8604,763.1259,773.5096,786.7689,791.7211,807.6961,818.2396
MS Zaandam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.3494,109.3494,109.3494,109.3494,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722,492.0722
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0108,0.0108,0.0433,0.0614,0.0686,0.0831,0.0939,0.0939,0.1408,0.1553,0.2058,0.2058,0.2131,0.2528,0.2528,0.26,0.2961,0.3178,0.3358,0.3358,0.3358,0.3684,0.3828,0.3828,0.39,0.3972,0.4009,0.4225,0.4334,0.437,0.437,0.437,0.437,0.437,0.4406,0.4442,0.4478,0.4622,0.4622,0.4622,0.4622,0.4767,0.4875,0.5381,0.5381,0.5453,0.5706,0.697,0.697,0.697,0.697,0.6717,0.6717,0.7656,0.8306,0.8595,1.022,1.0978,1.1628,1.1773,1.3398,1.4626,1.6179,1.7623,1.9031,1.9573,2.1162,2.2101,2.369,2.5207,2.7373,2.7843,2.9829,3.0515,3.279,3.456,3.521,3.7052,3.7991,3.9507,4.1096,4.1963,4.3444,4.478,4.5213,4.5935,4.6586,4.7561,4.9763,5.0666,5.2111,5.4278,5.7636,5.9225,6.2258,6.4534,6.605,6.9409,7.2406,7.5042,7.7209,7.9954,8.3168,8.6779,9.0715,9.8516,10.6208,11.7367,12.5384,12.9031,13.6579,14.9615,16.5324,17.5761,18.3453,19.2951,20.2412
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157,0.0157,0.0209,0.0209,0.0261,0.0418,0.0418,0.0418,0.047,0.0627,0.068,0.0836,0.0836,0.0836,0.0836,0.0889,0.0889,0.0889,0.0889,0.0941,0.1202,0.1725,0.1725,0.1725,0.1777,0.1882,0.1882,0.1882,0.1934,0.1934,0.1986,0.2039,0.2143,0.2143,0.2248,0.2248,0.2248,0.2927,0.2927,0.298,0.298,0.3293,0.3293,0.3293,0.3398,0.3659,0.3659,0.3659,0.3711,0.3764,0.4286,0.4286,0.4339,0.528,0.528,0.528,1.0612,1.4271,1.4584,1.4846,1.7564,1.8714,1.9289,2.0544,2.138,2.138,2.2896,2.3157,2.3785,2.3785,2.5144,2.5144,2.7653,2.8594,2.9012,2.9483,2.9901,3.0946,3.241,3.241,3.816,3.9153,4.1976,4.919,5.0183,5.2535,5.426,5.9906,6.022,6.3983,6.6127,7.0152,7.8307,8.4318,8.4318,9.1061,9.5034,9.7439,10.1516,10.8155,11.8192,12.3576,12.7026,13.0528,13.6644
Malásia,0.0,0.0,0.0,0.0093,0.0124,0.0124,0.0124,0.0216,0.0247,0.0247,0.0247,0.0247,0.0247,0.0309,0.0371,0.0371,0.0371,0.0494,0.0494,0.0556,0.0556,0.0556,0.0587,0.0587,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.0711,0.0711,0.0772,0.0896,0.0896,0.1112,0.1545,0.1545,0.2564,0.2873,0.3059,0.3615,0.3986,0.4604,0.4604,0.6087,0.7353,1.3224,1.7487,2.0793,2.4408,2.7807,3.1824,3.6551,4.0351,4.6901,5.0176,5.549,6.2751,6.6768,7.168,7.6315,8.1135,8.546,8.9847,9.6274,10.2978,10.7613,11.3143,11.7191,12.2443,12.7263,13.0631,13.4277,13.9962,14.4689,14.8829,15.4081,15.6708,16.0106,16.2238,16.3907,16.6502,16.7614,16.9375,17.092,17.3114,17.5833,17.7408,17.8582,17.9818,18.0776,18.368,18.5442,18.7573,19.0818,19.4587,19.6286,19.7213,19.8603,19.9808,20.1909,20.3578,20.5648,20.7811,20.8305,20.9448,21.0684,21.1796,21.2322,21.3001,21.4453,21.5597,21.6554,21.8099,22.0509,22.1992,22.3846,22.916,23.4938,23.5401,23.571,23.8893,23.982,24.1581,24.2755,24.3373,24.6246,25.4804,25.5391,25.6535,25.7122,25.7338,25.7554,25.7616,25.8574,25.9593,26.0922,26.1169,26.2436,26.2776,26.3085,26.3517,26.3703,26.4351,26.4846,26.5309,26.5402,26.5587,26.5711,26.5896,26.6205,26.6761,26.6854,26.6916,26.6947,26.7039,26.7194,26.7503,26.7657,26.7812,26.7997,26.809,26.8275,26.8677,26.8924,26.9357,26.9573,26.9697,26.9851
Maldivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.74,1.11,1.48,1.48,1.665,1.85,2.405,2.405,2.405,2.405,2.405,2.405,2.405,2.405,2.405,2.405,2.405,2.405,2.96,2.96,3.145,3.145,3.33,3.515,3.515,3.515,3.515,3.515,3.515,3.515,3.515,3.515,3.515,3.515,3.7,3.7,3.7,4.07,4.625,5.18,6.475,9.6199,12.7649,15.3549,15.9099,19.9799,23.8648,32.7448,39.5897,41.8097,46.2497,51.4297,86.5794,90.8344,96.0144,97.4944,100.0844,106.0043,114.1443,119.8792,137.6391,146.1491,154.474,165.9439,167.2389,176.6739,181.6688,190.7338,199.4287,202.3887,204.6087,211.4536,219.4086,224.9586,235.6885,242.9034,253.6334,258.0733,266.0283,269.5433,279.9032,294.3331,309.318,328.0029,338.3628,340.5828,342.2478,346.3178,348.3528,351.6827,352.0527,354.4577,359.2677,362.9677,365.5577,370.5526,372.4026,376.4726,382.0226,387.3875,392.1975,395.3425,397.7475,404.5924,407.5524,410.1424,414.0274,418.2823,421.2423,422.3523,426.4223,429.9372,432.3422,436.7822,440.6672,443.9972,445.8471,450.4721,456.5771,460.8321,462.682,465.642,472.302,484.1419,492.8368,505.2318,510.9667,518.1817,523.7316
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0198,0.0543,0.0889,0.0889,0.1235,0.1383,0.1531,0.1778,0.1926,0.2025,0.2222,0.2321,0.2765,0.2913,0.3654,0.4296,0.4296,0.5185,0.6074,0.7111,0.7308,0.8444,0.8444,1.0666,1.1061,1.2148,1.274,1.4469,1.5259,1.6049,1.8271,1.9209,2.0147,2.0937,2.3801,2.4197,2.5085,2.6863,2.7801,2.8641,3.0221,3.1159,3.2097,3.2986,3.4171,3.4764,3.5159,3.6048,3.7431,3.8468,3.9801,4.1233,4.2467,4.3159,4.4492,4.5973,4.6764,4.785,5.0121,5.0862,5.2294,5.3183,5.5109,5.8961,6.0541,6.1726,6.2467,6.4936,6.6713,6.8442,7.2145,7.333,7.5207,7.5701,7.6392,7.8318,8.2318,8.5034,8.6515,8.77,8.933,9.1848,9.3083,9.3329,9.412,9.4959,9.5453,9.5453,9.6836,9.7675,9.9008,10.0687,10.1724,10.4588,10.602,10.7304,10.7699,10.8736,11.16,11.2835,11.3724,11.5057,11.5106,11.5946,11.644,11.7032,11.8711,11.881,11.9057,11.9106,11.9649,12.0143
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6794,0.6794,0.6794,1.1324,1.3589,1.3589,2.7177,4.0766,4.756,6.7944,8.6062,8.6062,12.0034,14.4946,16.5329,20.3831,24.2332,24.9126,29.2157,30.3481,31.4805,33.7453,34.1983,35.3306,38.2749,42.578,44.3898,45.7487,48.2399,51.4106,54.5813,66.3582,67.7171,76.3233,79.2675,83.797,85.6089,86.9677,89.0061,90.3649,93.3091,95.5739,96.4798,96.7063,97.6122,100.33,100.5565,100.7829,101.2359,101.4624,101.4624,101.9153,103.7272,104.8595,105.3125,105.7655,105.9919,108.0302,108.7097,109.1626,109.6156,110.0686,110.748,110.9745,112.3333,113.9187,114.5981,115.0511,118.2218,120.4866,123.6573,125.2426,126.375,128.8663,132.2634,135.6606,135.8871,137.9254,138.1519,138.3784,138.3784,138.6048,139.5108,139.5108,139.9637,139.9637,140.1902,140.4167,140.8696,140.8696,141.5491,142.002,142.455,142.6815,143.1344,143.8139,144.9462,146.0786,146.3051,146.9846,147.211,148.5699,149.9288,150.1553,150.1553,150.3817,150.6082,150.6082,150.6082,150.6082,151.2876,151.7406,151.7406,151.7406,151.7406,151.7406,151.9671,151.9671,152.1936,152.1936,152.1936,152.1936,152.42,152.42,152.6465,152.6465,152.6465,152.6465,152.6465,152.6465,152.6465
Mauritânia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0215,0.0215,0.0215,0.0215,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.0645,0.0645,0.1075,0.1075,0.1075,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1721,0.1721,0.1721,0.1721,0.1721,0.1721,0.1721,0.1721,0.1721,0.1721,0.1721,0.1721,0.1721,0.1936,0.3226,0.4301,0.6237,0.8603,1.3334,1.7421,2.8174,3.0325,3.7207,4.3014,4.8821,5.0971,5.6348,5.7639,6.28,7.4414,9.0974,10.3879,11.3987,12.6461,14.3666,16.0227,16.8615,18.9906,20.3671,22.5608,23.7437,24.9911,27.5934,30.9485,33.8089,36.1747,38.3469,40.5836,44.2398,47.81,52.1329,56.3697,60.4991,64.1768,67.1232,70.8009,75.683,80.4145,84.0277,86.5655,89.2324,91.125,93.8349,96.1791,99.061,101.1902,103.8141,104.9324,106.4164,108.051,109.4059,110.2447,111.9007,113.4492,115.1698,117.1269,118.6754,119.6647
Ilhas Maurício,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2359,0.2359,0.9436,1.1008,2.2017,2.8307,3.3025,3.7743,6.3691,7.3913,8.0203,8.4135,10.0647,11.2442,12.6595,13.2886,14.6253,15.4116,17.8492,19.1859,21.073,21.4662,24.69,25.0046,25.0832,25.4763,25.4763,25.4763,25.4763,25.4763,25.4763,25.555,25.7909,25.7909,25.7909,25.8695,26.0268,26.0268,26.0268,26.1054,26.2627,26.2627,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.1054,26.2627,26.2627,26.2627,26.2627,26.2627,26.3413,26.3413,26.3413,26.3413,26.3413,26.3413,26.3413,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.4985,26.7344,26.7344,26.8131,26.8131,26.8131,26.8131,26.8131,26.8131,26.8131,26.8131,26.8131,26.8131,26.8131,26.8131,26.8917,26.8917,26.8917,26.8917,26.8917,26.8917,26.8917,26.8917,26.8917,26.9703
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0031,0.0039,0.0039,0.0039,0.0039,0.0039,0.0047,0.0047,0.0054,0.0054,0.0054,0.0062,0.0093,0.0202,0.0318,0.0411,0.0636,0.0721,0.0915,0.1272,0.1574,0.1947,0.2451,0.2846,0.3141,0.3684,0.4537,0.5561,0.6577,0.7702,0.8485,0.9424,1.0688,1.1712,1.3092,1.4659,1.6621,1.8917,2.16,2.4672,2.6688,2.9814,3.2722,3.6151,3.8888,4.1875,4.5349,4.8839,5.3322,5.8147,6.4072,6.8035,7.369,8.1779,9.0225,9.9835,10.7358,11.3835,12.0443,12.9928,13.8049,14.9101,16.0851,17.1314,18.2041,19.3163,20.1849,21.4329,22.9701,24.4484,25.9515,27.163,28.1752,29.724,31.1682,33.0366,34.9267,36.5648,38.1742,40.0465,42.1507,43.8942,46.2001,48.4958,51.0778,53.2215,55.1489,57.8286,60.5145,63.1337,65.6365,67.8741,70.3188,72.468,75.4859,78.52,81.9652,85.336,88.1227,90.8249,93.1509,96.4076,100.1949,103.91,107.9602,110.6701,113.8865,116.5445,120.1115,123.9351,128.3266,132.2278,135.8863,140.0304,143.5803,148.4572,152.6742,157.4084,161.6284,165.0488,168.19,171.1412,175.3542,179.7604,184.9887,190.2162,195.5787,199.2108,203.0128,207.8665,213.2918,218.9382,224.2828,229.0093,232.4855,236.1192,241.588,246.3571
Moldávia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248,0.0248,0.0744,0.0744,0.0744,0.1487,0.2975,0.5702,0.5702,0.7437,0.7437,1.2147,1.6361,1.9832,2.3302,2.7021,3.0987,3.6936,4.3877,4.9331,5.7264,6.5196,7.3873,8.7507,10.486,12.5187,14.6506,18.6417,21.4181,23.9219,26.1777,29.1029,31.9537,35.6473,38.6716,41.2002,42.4397,47.9429,50.7937,53.3966,56.1235,58.9495,61.2797,63.1637,64.7998,68.8653,72.5341,77.0954,81.9046,84.4827,86.2923,90.1843,93.4813,96.6048,98.6623,100.4471,102.1576,105.3059,108.1567,110.9579,114.1557,117.2048,120.6506,122.138,123.8236,127.7652,134.0121,137.6562,142.4158,147.101,150.2245,152.1581,157.1655,162.4457,166.1889,169.7338,173.3779,175.8321,177.1707,181.0874,186.8386,191.499,195.738,200.7455,204.5383,207.2404,211.9008,218.0238,223.5519,229.2287,235.7731,240.4583,243.1108,248.5149,255.8526,265.9172,274.9901,284.0631,291.0289,294.4747,303.7708,315.6201,324.8914,336.0467,345.8882,352.0112,356.0519,364.753,373.7764,383.0724,391.0794,398.6155,402.8297,405.4822,411.8283,418.8933,425.1402,432.4531,438.0804,441.6005,443.8811,449.7067,457.8872,462.7212,469.1168,476.1571,480.4704,481.8834,488.5518,496.7819
