País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Botswana,6.0,13.0,20.0,22.0,23.0,23.0,25.0,35.0,35.0,40.0,60.0,89.0,92.0,277.0,399.0,522.0,686.0,804.0,804.0,1214.0,1308.0,1633.0,2002.0,2252.0,2567.0,2921.0,3172.0,3219.0,5242.0,5923.0,6642.0,7835.0,8225.0,9594.0,10258.0,11531.0,12501.0,13014.0,14025.0,14805.0,16050.0,17365.0,19654.0,21293.0,23503.0,24926.0,26524.0,,,,,,,,,,
Brasil,2.0,31.0,321.0,2247.0,5717.0,14034.0,25262.0,43079.0,73235.0,115455.0,178214.0,271885.0,391222.0,555383.0,739503.0,923189.0,1145906.0,1402041.0,1668589.0,1926824.0,2159654.0,2483191.0,2801921.0,3109630.0,3407354.0,3669995.0,3950931.0,4162073.0,4382263.0,4591364.0,4777522.0,4969141.0,5113628.0,5273954.0,5439641.0,5566049.0,5699005.0,5911758.0,6118708.0,6386787.0,6674999.0,6970034.0,7318821.0,7563551.0,7810400.0,8195637.0,8573864.0,8933356.0,9283418.0,9599565.0,9921981.0,10168174.0,,,,,
Brunei,50.0,88.0,126.0,135.0,136.0,138.0,138.0,138.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,142.0,142.0,143.0,144.0,145.0,145.0,145.0,146.0,146.0,146.0,147.0,148.0,148.0,148.0,148.0,148.0,150.0,151.0,152.0,152.0,152.0,172.0,173.0,174.0,175.0,180.0,181.0,184.0,185.0,,,,,,,
Bulgária,41.0,163.0,331.0,503.0,661.0,878.0,1247.0,1594.0,1921.0,2175.0,2408.0,2499.0,2711.0,3266.0,3872.0,4625.0,5677.0,7175.0,8638.0,10312.0,11836.0,13343.0,14333.0,15131.0,16164.0,17050.0,17891.0,18819.0,19997.0,21518.0,24319.0,29108.0,37562.0,52844.0,74485.0,97435.0,120697.0,141747.0,160844.0,178952.0,191029.0,197384.0,202880.0,208406.0,211736.0,214696.0,218618.0,223552.0,229516.0,236439.0,236666.0,,,,,,
Burkina Faso,15.0,99.0,246.0,364.0,497.0,581.0,635.0,672.0,760.0,796.0,832.0,847.0,890.0,894.0,903.0,959.0,1000.0,1036.0,1065.0,1100.0,1150.0,1204.0,1280.0,1338.0,1368.0,1463.0,1717.0,1896.0,2028.0,2184.0,2294.0,2387.0,2459.0,2517.0,2581.0,2652.0,2754.0,2886.0,3315.0,4209.0,5301.0,6344.0,7126.0,8279.0,9352.0,10103.0,10768.0,11309.0,11630.0,11797.0,,,,,,,
Myanmar,20.0,23.0,85.0,139.0,151.0,176.0,181.0,199.0,206.0,236.0,260.0,286.0,293.0,304.0,321.0,339.0,343.0,353.0,357.0,369.0,399.0,602.0,1111.0,2150.0,4299.0,8515.0,14383.0,22445.0,32351.0,41008.0,50403.0,57935.0,65598.0,74882.0,85205.0,95018.0,104487.0,113082.0,119788.0,124630.0,128772.0,132865.0,136166.0,139152.0,141104.0,141522.0,141709.0,141750.0,,,,,,,,,
Burundi,3.0,5.0,5.0,11.0,15.0,15.0,42.0,42.0,63.0,83.0,85.0,144.0,170.0,191.0,269.0,322.0,378.0,395.0,408.0,413.0,430.0,445.0,466.0,472.0,474.0,502.0,514.0,525.0,549.0,557.0,589.0,614.0,630.0,664.0,688.0,698.0,729.0,762.0,804.0,842.0,1019.0,1245.0,1479.0,1635.0,1728.0,1849.0,2031.0,,,,,,,,,,
Cabo Verde,4.0,6.0,7.0,56.0,82.0,121.0,218.0,315.0,356.0,390.0,502.0,657.0,823.0,1003.0,1301.0,1552.0,1894.0,2190.0,2418.0,2734.0,3073.0,3368.0,3699.0,4125.0,4557.0,5063.0,5479.0,6126.0,6717.0,7444.0,8122.0,8603.0,9149.0,9694.0,10082.0,10570.0,10938.0,11203.0,11502.0,11688.0,11840.0,12146.0,12664.0,13307.0,13784.0,14290.0,14601.0,14885.0,15048.0,,,,,,,,
Camboja,1.0,1.0,1.0,1.0,1.0,2.0,7.0,84.0,103.0,114.0,122.0,122.0,122.0,122.0,122.0,122.0,124.0,125.0,126.0,128.0,129.0,141.0,141.0,156.0,171.0,225.0,240.0,251.0,273.0,273.0,273.0,274.0,275.0,275.0,276.0,278.0,283.0,283.0,287.0,292.0,297.0,302.0,306.0,323.0,348.0,359.0,363.0,364.0,382.0,391.0,439.0,458.0,466.0,474.0,479.0,568.0,
Camarões,2.0,13.0,75.0,306.0,730.0,996.0,1334.0,1832.0,2267.0,2954.0,4288.0,5436.0,6789.0,8681.0,9864.0,12592.0,12592.0,14916.0,16157.0,16522.0,17255.0,17718.0,18308.0,18762.0,19142.0,19604.0,20009.0,20303.0,20712.0,20838.0,21203.0,21441.0,21570.0,21793.0,22103.0,22490.0,23528.0,24022.0,24487.0,24963.0,25472.0,26277.0,26277.0,26848.0,27336.0,28010.0,29617.0,30313.0,31394.0,33749.0,33749.0,,,,,,
