País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Bolívia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514,0.1199,0.2399,0.2913,0.4712,0.7367,1.0965,1.6191,2.3473,3.2211,4.172,5.6455,7.2475,9.6205,13.1071,16.2597,19.4723,23.3016,28.4417,32.2196,35.7405,39.9554,43.6991,60.7983,63.7967,65.9041,67.943,69.8705,71.541,73.0402,74.291,74.9677,75.456,75.9529,76.4841,76.7839,77.118,77.3236,77.5463,78.2574,79.1655,80.9902,83.2861,86.5671,90.0624,93.6261,96.5817,98.5863,100.2568,101.5847,102.7755,103.5979,104.8486,105.9366,107.0503,108.7551,110.3827,111.6678,113.5781,116.2167,119.6348
Bósnia e Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0914,0.3962,1.0058,1.2192,1.5545,1.9203,2.4079,3.5662,4.0843,4.5415,4.7854,4.8768,5.1207,5.2426,5.6693,6.3094,6.8885,8.0468,9.0526,11.3691,13.6246,15.0877,17.0689,18.8977,20.3912,22.0981,23.7136,25.6948,27.5236,28.8647,30.9984,34.2902,40.1424,49.6522,62.2406,72.9696,83.1195,93.9095,105.37,115.5809,122.6523,128.3521,133.2899,137.4352,140.849,144.3847,147.3413,150.4198,153.4373,156.8206,162.9166,171.8169,183.0336,198.7004,214.9463,228.2052,244.6036,256.5823,265.5739,271.6395,276.4554,278.8938
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.085,0.085,0.085,0.1276,0.1276,0.2551,0.3827,0.4678,0.5528,0.6804,0.7654,0.8505,0.893,0.893,1.0206,1.1481,1.2757,1.3182,1.4458,1.5309,1.6159,1.6159,1.701,1.9136,2.5089,3.7421,5.2729,6.2935,7.6118,9.6104,12.7571,14.1179,17.5623,19.0081,20.624,24.1535,26.1946,28.1932,29.0862,29.8517,30.7872,31.9353,32.9134,34.4017
Brasil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0216,0.0946,0.3227,0.7207,1.2895,2.3913,3.7345,5.8624,8.4602,11.5318,14.6778,18.0684,21.2839,24.7672,28.0364,31.3988,34.8764,38.3361,41.6538,45.0787,48.4693,51.6975,54.8458,57.6761,59.9663,62.6267,64.9724,67.2381,69.3895,71.038,72.8441,74.3068,75.5064,76.5913,78.4247,80.0317,81.7734,83.8161,85.999,88.5677,90.6481,93.0243,96.2978,99.4974,102.9726,106.4686,109.861,113.3518,116.9221,121.0772,126.2565,132.7285,140.5141,149.4387,158.519,168.6234,177.834,185.8407,193.6343,200.1981,206.554,211.6387
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.4572,0.4572,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857
Bulgária,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.0432,0.1151,0.331,0.5037,0.6476,0.8347,1.1513,1.3672,1.6119,1.8709,2.0724,2.4034,2.6049,2.9935,3.3101,3.6555,4.0729,4.5046,5.1091,5.9726,6.7785,7.4693,8.2321,9.2395,9.9591,10.5923,11.0384,11.7005,12.4057,13.2835,14.6652,16.7088,20.3211,26.6391,34.7272,46.4277,60.2725,74.2037,86.4222,99.0006,106.5706,113.7233,119.149,123.9702,128.3165,132.0871,136.4622,139.6428,143.6005,149.5443,156.8984,166.6416,177.1188,188.0709,198.4041,212.2201,223.3305,232.8866,239.0319,246.1558,250.1135,252.042
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191,0.067,0.0909,0.1435,0.1818,0.2009,0.2296,0.244,0.244,0.2488,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2583,0.2583,0.2631,0.2631,0.2631,0.2679,0.2679,0.2679,0.2775,0.2823,0.3014,0.311,0.3205,0.3205,0.3205,0.3253,0.3253,0.3253,0.3301,0.3492,0.3684,0.3923,0.4114,0.4401,0.5023,0.5645,0.6028,0.641,0.6602,0.6745,0.6841,0.6841,0.6889,0.6937,0.6985,0.7176,0.7319,0.7415,0.7463,0.7702,0.7846,0.7894,0.7894
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0018,0.0074,0.0092,0.0092,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.0221,0.0717,0.2132,0.522,0.8657,1.2737,1.7368,2.1081,2.4021,2.6852,2.9866,3.2788,3.6243,3.9533,4.2621,4.5654,4.8466,5.0836,5.2895,5.488,5.6644,5.7673,5.8445,5.8666,5.8758,5.8795,5.8813,5.8868,5.8886,5.8923,5.8923,5.8923,5.8923,5.8942,5.8978,5.8997,5.9052,5.9107
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.3597,0.3597,0.5396,0.7194,0.8993,0.8993,1.259,1.4389,2.6979,3.2375,3.4173,3.7771,3.9569,4.6764,5.9354,6.475,6.6548,7.1944,7.5541,8.2736,9.3527,10.6118,12.4104,13.8492,15.6478,16.9069,17.0867,18.1659,18.5256,18.7055,19.0652,19.6048,19.7846,20.1444,20.1444,20.3242,20.6839,21.5832,23.202,24.1013,24.6409,25.1804,25.8999,26.6193,27.6985,28.2381,29.3172,30.2165,31.1158,33.6339,34.8929,37.9505,41.0082,42.447,45.3248,46.404
