País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
República Democrática do Congo,0.0,0.0022,0.0089,0.0201,0.0223,0.0279,0.0335,0.038,0.0491,0.0681,0.0759,0.0804,0.1005,0.1251,0.1507,0.1898,0.2032,0.2121,0.2188,0.2322,0.2401,0.2512,0.2713,0.2803,0.2892,0.2903,0.2981,0.3026,0.3037,0.3059,0.3082,0.3383,0.3405,0.3517,0.3528,0.3595,0.3696,0.374,0.3841,0.3997,0.4131,0.6521,0.6688,0.6978,0.7146,0.738,0.7537,0.7637,0.776,0.7816,0.7894,,,,,,,
Costa Rica,0.0,0.0196,0.0393,0.0393,0.0589,0.0785,0.1178,0.1178,0.1178,0.157,0.1963,0.1963,0.1963,0.2356,0.2356,0.2356,0.3533,0.4908,0.8245,1.5704,2.7483,3.9261,5.3395,6.537,7.7933,9.03,11.1305,13.0739,15.6062,18.0012,20.4157,22.7517,24.5577,26.6386,28.3464,29.9757,31.3891,32.9596,34.4908,36.9446,38.8684,40.9492,42.8926,44.8753,47.1328,49.194,51.0196,52.2563,53.1986,54.1016,54.8868,54.9654,,,,,,
Costa do Marfim,0.0,0.0,0.0038,0.0114,0.0227,0.0493,0.0531,0.0682,0.0796,0.1061,0.1137,0.1251,0.1441,0.1744,0.2199,0.2578,0.2881,0.3298,0.3526,0.3715,0.3905,0.3981,0.417,0.4322,0.4435,0.4511,0.4549,0.4549,0.4549,0.4549,0.4549,0.4587,0.4625,0.4777,0.4777,0.489,0.4966,0.5004,0.5004,0.5042,0.5042,0.5194,0.5232,0.5307,0.5383,0.5573,0.599,0.6255,0.6786,0.7127,0.7203,,,,,,,
Croácia,0.0,0.0,0.0,0.0244,0.1462,0.3897,0.609,1.1449,1.4372,1.9487,2.2167,2.3141,2.4359,2.509,2.5333,2.6064,2.6064,2.6064,2.7526,2.8987,2.9718,3.3859,3.7269,3.8487,4.0436,4.2141,4.5308,4.8961,5.5295,6.1628,6.6256,7.3077,7.9654,9.1102,11.0102,14.4692,20.2666,26.3564,34.0538,43.5051,54.3935,65.891,79.3371,91.0781,100.505,107.2525,113.3909,118.3601,123.1101,126.6178,130.0524,132.7319,134.0473,,,,,
Cuba,0.0088,0.0088,0.053,0.1059,0.2119,0.3532,0.5121,0.6092,0.6975,0.6975,0.724,0.7328,0.7328,0.7416,0.7504,0.7593,0.7593,0.7681,0.7681,0.7681,0.7769,0.7769,0.7858,0.8122,0.8652,0.9182,0.9623,1.0418,1.0771,1.0859,1.0859,1.1213,1.1301,1.1389,1.1477,1.1566,1.1742,1.2007,1.2007,1.2095,1.2272,1.2802,1.3067,1.3949,1.5892,1.8011,1.9423,2.1984,2.4456,2.7193,2.7722,,,,,,,
Chipre,0.0,0.0828,0.4141,0.9111,0.9111,0.9939,1.1596,1.2424,1.3252,1.408,1.408,1.408,1.4909,1.4909,1.5737,1.5737,1.5737,1.5737,1.5737,1.5737,1.5737,1.5737,1.6565,1.6565,1.6565,1.7393,1.8222,1.8222,1.8222,1.8222,2.0706,2.0706,2.0706,2.1535,2.8989,3.2302,3.6443,3.9756,5.0523,6.4604,7.5371,9.2764,10.8501,12.2582,14.0803,15.4055,16.4823,17.559,18.3044,18.967,19.1327,,,,,,,
República Tcheca,0.0,0.0,0.0,0.1027,0.5509,1.2046,1.6902,2.0357,2.2878,2.5773,2.764,2.9321,2.9788,3.0535,3.0815,3.1376,3.2589,3.2963,3.287,3.343,3.4457,3.5764,3.6418,3.6885,3.8379,3.9313,4.0247,4.2301,4.6596,5.5187,6.6393,8.8524,12.6249,19.3949,30.3577,43.711,56.5693,66.2528,75.2079,82.3141,88.2437,95.9102,102.2506,110.44,121.188,132.7391,142.5906,151.3776,159.9499,168.6248,178.327,186.7498,,,,,,
Dinamarca,0.0,0.0,0.0691,0.587,1.7955,3.7637,5.3348,6.6296,7.6482,8.7359,9.202,9.5646,9.7545,10.0135,10.2379,10.3242,10.4105,10.4623,10.5141,10.5314,10.5487,10.6005,10.635,10.7213,10.7213,10.7558,10.8076,10.8422,10.9285,11.1011,11.222,11.4464,11.6536,11.9126,12.3442,12.5859,13.0002,13.2937,13.8462,14.7094,15.6072,16.833,18.922,21.6843,25.0509,28.6765,32.3366,35.4097,37.4814,38.9489,40.0021,40.5027,40.6408,,,,,
Diamond Princess,0.0,53.8938,107.7877,161.6815,188.6284,188.6284,269.4691,296.4161,296.4161,323.363,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,,
Djibouti,0.0,0.0,0.0,202.4291,202.4291,202.4291,202.4291,303.6437,708.502,1417.004,2530.3644,3441.2955,4352.2267,4959.5142,5465.587,5566.8016,5668.0162,5668.0162,5870.4453,5971.6599,5971.6599,5971.6599,6072.8745,6072.8745,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6174.0891,6275.3036,6376.5182,6376.5182,6376.5182,6376.5182,6376.5182,,,,,,,,
