País Português,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0177,0.0177,0.0265,0.0265,0.0353,0.053,0.053,0.053,0.053,0.053,0.0706,0.0795,0.0971,0.1059,0.1324,0.1324,0.1413,0.1589,0.1854,0.1854,0.2119,0.2384,0.2737,0.2825,0.3002,0.3178,0.3355,0.3532,0.3796,0.4326,0.4503,0.4768,0.4944,0.5121,0.5121,0.5386,0.565,0.5827,0.5915,0.6092,0.6092,0.6092,0.6445,0.6533,0.6533,0.6798,0.6798,0.6886,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.7063,0.7151,0.7151,0.724,0.724,0.724,0.724,0.724,0.724,0.7328,0.7328,0.7328,0.7328,0.7328,0.7328,0.7328,0.7328,0.7328,0.7328,0.7328,0.7328,0.7416,0.7416,0.7416,0.7416,0.7416,0.7416,0.7416,0.7504,0.7504,0.7504,0.7504,0.7504,0.7504,0.7504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828,0.0828,0.2485,0.2485,0.2485,0.4141,0.4141,0.4141,0.5798,0.6626,0.7454,0.8283,0.9111,0.9111,0.7454,0.7454,0.7454,0.7454,0.8283,0.8283,0.8283,0.9111,0.9939,0.9939,0.9939,0.9939,0.9939,0.9939,0.9939,0.9939,0.9939,1.0767,1.0767,1.1596,1.1596,1.1596,1.2424,1.2424,1.2424,1.2424,1.2424,1.2424,1.2424,1.2424,1.2424,1.2424,1.2424,1.2424,1.2424,1.3252,1.3252,1.3252,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.408,1.4909,1.4909,1.4909,1.4909,1.4909,1.4909,1.4909,1.4909,1.4909,1.4909,1.4909,1.4909,1.5737,1.5737,1.5737,1.5737,1.5737,1.5737,1.5737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República Tcheca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0093,0.028,0.056,0.084,0.084,0.1027,0.1494,0.2148,0.2895,0.3642,0.4109,0.4949,0.5509,0.6256,0.7284,0.8217,0.9245,1.0459,1.1112,1.2046,1.2886,1.3353,1.5034,1.5501,1.5781,1.6155,1.6902,1.7369,1.8116,1.8769,1.9423,1.961,1.9983,2.0357,2.0544,2.0824,2.1197,2.1197,2.2038,2.2411,2.2878,2.3158,2.3532,2.3999,2.4465,2.5212,2.5493,2.5773,2.6146,2.6333,2.6426,2.708,2.736,2.7547,2.764,2.7827,2.7734,2.8201,2.8387,2.8574,2.9134,2.9321,2.9415,2.9601,2.9601,2.9601,2.9788,2.9788,2.9788,2.9881,2.9975,3.0162,3.0348,3.0442,3.0535,3.0535,3.0535,3.0628,3.0628,3.0815,3.0628,3.0722,3.0628,3.0722,3.0815,3.0909,3.1095,3.1189,3.1282,3.1376,3.1376,3.1376,3.1656,3.2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinamarca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173,0.0345,0.0518,0.0691,0.0691,0.1036,0.1554,0.2244,0.2244,0.4144,0.5525,0.587,0.7078,0.8978,1.1222,1.2431,1.3294,1.5538,1.7955,2.1235,2.3998,2.7796,3.0904,3.2285,3.5047,3.7637,4.0917,4.2644,4.4888,4.7132,4.9204,5.1621,5.3348,5.5419,5.8009,5.9735,6.1289,6.2843,6.3879,6.6296,6.8022,6.9576,7.2166,7.2857,7.372,7.4928,7.6482,7.8036,7.9417,8.2007,8.3561,8.5114,8.6841,8.7359,8.874,9.0121,9.0812,9.133,9.202,9.0984,9.202,9.2711,9.2711,9.3747,9.4437,9.461,9.5128,9.5646,9.6854,9.6854,9.6854,9.7027,9.72,9.72,9.7545,9.8063,9.8063,9.8581,9.9099,9.9444,10.0135,10.0135,10.048,10.1171,10.1343,10.1688,10.2379,10.2379,10.2379,10.2379,10.2552,10.307,10.307,10.3242,10.3242,10.3242,10.3588,10.3588,10.3588,10.3588,10.3933,10.4105,10.4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Princess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8938,53.8938,53.8938,80.8407,80.8407,80.8407,107.7877,107.7877,161.6815,161.6815,161.6815,161.6815,161.6815,161.6815,161.6815,161.6815,161.6815,161.6815,161.6815,161.6815,188.6284,188.6284,188.6284,188.6284,188.6284,188.6284,188.6284,188.6284,188.6284,188.6284,215.5753,215.5753,215.5753,269.4691,269.4691,269.4691,269.4691,269.4691,269.4691,269.4691,269.4691,296.4161,296.4161,296.4161,296.4161,296.4161,296.4161,296.4161,296.4161,296.4161,296.4161,296.4161,296.4161,296.4161,323.363,323.363,323.363,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,350.3099,,,,,,,,,,,,,,,,
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.2146,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,202.4291,303.6437,303.6437,303.6437,303.6437,303.6437,303.6437,303.6437,303.6437,303.6437,404.8583,404.8583,404.8583,708.502,708.502,910.9312,1012.1457,1012.1457,1012.1457,1012.1457,1417.004,1417.004,1821.8623,2024.2915,2024.2915,2226.7206,2429.1498,2429.1498,2530.3644,2631.5789,2631.5789,2631.5789,2631.5789,2834.0081,3137.6518,3441.2955,3441.2955,3744.9393,3846.1538,4149.7976,4352.2267,4352.2267,4352.2267,4352.2267,4352.2267,4554.6559,4554.6559,4554.6559,4858.2996,4959.5142,5263.1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domínica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República Dominicana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0092,0.0184,0.0184,0.0184,0.0277,0.0277,0.0553,0.0922,0.0922,0.1844,0.2581,0.3595,0.3872,0.4701,0.5254,0.5531,0.6268,0.6268,0.7559,0.7928,0.9034,0.9956,1.0878,1.1615,1.2445,1.5948,1.6317,1.687,1.7423,1.8068,1.8437,2.0004,2.0834,2.1663,2.2585,2.3968,2.4429,2.4613,2.5166,2.5627,2.5996,2.6365,2.701,2.7747,2.8853,3.0052,3.0697,3.1896,3.2633,3.337,3.4385,3.503,3.5491,3.5767,3.6228,3.7058,3.7703,3.8902,3.9086,3.9455,3.9455,4.0008,4.0653,4.1114,4.1298,4.2036,4.222,4.222,4.2404,4.3142,4.3695,4.4709,4.4986,4.5907,4.6276,4.6276,4.7475,4.7567,4.7936,4.8396,4.941,4.9595,4.9687,5.0148,5.0701,5.1715,5.236,5.319,5.4573,5.5771,5.6693,5.8352,5.8537,5.9643,6.038,6.1026,6.1671,6.2224,6.3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.0113,0.0113,0.0113,0.0113,0.017,0.0283,0.0397,0.0794,0.102,0.153,0.1587,0.1927,0.204,0.2721,0.3287,0.3401,0.4251,0.5271,0.6802,0.8219,0.9749,1.0202,1.0826,1.0826,1.3716,1.5417,1.6834,1.7854,1.8874,2.0121,2.0915,2.1992,2.2842,2.3862,2.5846,2.6866,2.8737,2.9473,3.0437,3.1741,3.2647,3.2647,3.2647,3.7579,4.9368,5.0048,5.1012,6.025,7.7708,8.8647,8.893,8.893,9.1707,9.3748,9.6582,9.7319,12.0557,12.1578,13.1893,13.229,13.2517,14.7027,15.2355,15.5075,15.8646,16.0913,16.369,16.6581,17.3213,17.548,17.616,18.1545,18.1545,18.5625,18.7779,18.897,18.897,19.033,19.033,19.4864,19.7585,19.7585,20.0305,20.45,20.5237,20.6427,20.9147,21.0848,21.0848,21.6969,21.9576,22.0823,22.2694,22.5018,22.7115,23.1649,23.556,23.556,23.9358,23.9358,24.2248,24.2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.0039,0.0059,0.0059,0.0078,0.0098,0.0137,0.0186,0.0195,0.0205,0.0235,0.0293,0.0352,0.0391,0.0401,0.045,0.0508,0.0567,0.0645,0.0694,0.0762,0.0831,0.0919,0.1007,0.1153,0.1319,0.1427,0.1554,0.1603,0.1739,0.1788,0.1915,0.2003,0.2189,0.2335,0.2443,0.258,0.2697,0.2805,0.2873,0.3,0.3098,0.3293,0.3508,0.3713,0.3831,0.3967,0.4055,0.4192,0.4261,0.4417,0.4583,0.471,0.4915,0.5023,0.513,0.5208,0.5316,0.5433,0.558,0.5785,0.598,0.6156,0.6303,0.644,0.6645,0.6801,0.6909,0.7182,0.7466,0.7651,0.7788,0.7974,0.8257,0.8589,0.8922,0.9371,0.9821,1.028,1.0632,1.1003,1.1394,1.1707,1.2088,1.242,1.2762,1.3114,1.3456,1.3896,1.4501,1.5391,1.6339,1.7257,1.8078,1.8938,1.971,2.058,2.143,2.226,2.3111,2.3941,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0154,0.0308,0.0308,0.0463,0.0463,0.0617,0.0617,0.0771,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,0.1079,0.1079,0.1079,0.1079,0.1079,0.1079,0.1233,0.1233,0.1233,0.1233,0.1233,0.1233,0.1388,0.1542,0.1542,0.1696,0.1696,0.2004,0.2158,0.2313,0.2313,0.2467,0.2621,0.2621,0.2775,0.3083,0.3083,0.3546,0.3854,0.4009,0.4625,0.4625,0.4625,0.4779,0.5088,0.5088,0.5088,0.5396,0.5396,0.555,0.6013,0.6013,0.6475,0.7092,0.7092,0.7092,0.7554,0.7863,0.8017,0.8171,0.8171,0.8171,0.8634,0.925,0.9867,1.0484,1.0484,1.11,1.1409,1.1409,1.1717,1.218,1.2642,1.3259,1.4338,1.5109,1.6497,1.7422,1.8347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guiné Equatorial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.2138,0.2138,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.4277,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.4989,0.7128,0.784,0.784,0.784,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,2.2809,2.2809,2.2809,2.2809,2.2809,2.2809,2.2809,2.2809,2.2809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritreia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estónia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754,0.0754,0.0754,0.0754,0.2262,0.2262,0.3015,0.3769,0.8292,0.9046,0.98,1.1308,1.4323,1.5831,1.8092,1.8092,1.8092,1.8092,1.8846,2.1108,2.3369,2.6385,2.7138,2.8646,2.8646,3.0154,3.0154,3.2415,3.3169,3.3923,3.4677,3.4677,3.6938,3.7692,3.7692,3.7692,3.92,3.92,3.9954,4.1461,4.1461,4.1461,4.1461,4.2215,4.2215,4.5231,4.5231,4.5984,4.5984,4.5984,4.6738,4.7492,4.7492,4.7492,4.8246,4.8246,4.8246,4.8246,4.8246,4.8246,4.8246,4.9,4.9,4.9754,4.9754,5.0508,5.0508,5.1261,5.1261,5.1261,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essuatíni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.1724,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.2586,0.3448,0.3448,0.3448,0.3448,0.3448,0.3448,0.431,0.431,0.5172,0.6034,0.6034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etiópia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0017,0.0017,0.0017,0.0017,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0035,0.0035,0.0035,0.0035,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0052,0.0052,0.0061,0.007,0.007,0.0096,0.0104,0.0122,0.0148,0.0157,0.0165,0.0174,0.0235,0.0235,0.0278,0.0304,0.0348,0.0409,0.0478,0.0496,0.0522,0.0531,0.0548,0.0565,0.0626,0.0626,0.0644,0.0652,0.0652,0.0678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finlândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.018,0.018,0.0541,0.0902,0.1263,0.1624,0.1985,0.2346,0.3068,0.3068,0.3429,0.361,0.4512,0.5053,0.4873,0.6136,0.7219,0.758,0.8663,0.8844,1.0107,1.0648,1.1551,1.2995,1.3536,1.48,1.6243,1.6965,1.7687,2.5448,2.6892,3.1043,3.1945,3.357,3.4292,3.4833,3.5916,3.7179,3.8082,3.9345,3.9706,4.1511,4.3316,4.4399,4.5481,4.6023,4.6925,4.7828,4.8189,4.8911,4.9633,5.1257,5.1798,5.2881,5.3603,5.3784,5.4145,5.4325,5.4867,5.5227,5.5227,5.5227,5.5408,5.5588,5.631,5.6491,5.6491,5.6671,5.7032,5.7754,5.7393,5.7754,5.7935,5.8115,5.8115,5.8115,5.8296,5.8296,5.8476,5.8476,5.8657,5.8657,5.8657,5.8837,5.8837,5.8837,5.8837,5.8837,5.8837,5.8837,5.8837,5.9018,5.9018,5.9018,,,,,,,
França,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0031,0.0031,0.0031,0.0031,0.0031,0.0046,0.0061,0.0061,0.0092,0.0138,0.0169,0.0291,0.0291,0.0506,0.0735,0.0735,0.121,0.1394,0.1394,0.2283,0.2283,0.2283,0.3738,0.6909,0.8625,1.0356,1.3206,1.6883,2.0422,2.6014,3.0594,3.5497,4.0001,4.642,5.4111,6.7623,8.2698,9.9887,11.6035,12.3986,13.6748,15.8456,16.679,18.7335,20.2456,21.2199,22.0794,22.9588,24.1001,26.3032,27.4568,28.6226,29.6062,30.2113,31.0493,31.8628,32.6963,33.4868,34.0843,34.6496,35.0203,35.6898,36.2521,36.9062,37.349,37.683,37.9373,38.1472,38.6129,39.1231,39.5444,39.8171,40.1894,40.3119,40.4192,40.8221,41.3552,41.4824,42.0201,42.1794,42.1794,43.0665,43.2672,42.9347,43.1032,43.2304,43.3438,43.4096,43.4633,43.6011,43.713,43.8141,43.9152,43.9949,44.0822,44.1297,44.1772,44.3411,44.4652,44.5326,44.6031,44.6506,44.6705,44.7532,44.8865,44.9217,44.9631,45.006,45.0428,45.0566,45.101,45.271,45.3139,45.3568,45.3783,45.4028,45.4135,45.4488,45.5361,45.5529,,
Gabão,0.0,0.0,0.0,0.0,0.0,0.0,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0899,0.1348,0.1348,0.1348,0.1348,0.1348,0.1348,0.1348,0.1348,0.2246,0.2246,0.2696,0.2696,0.2696,0.3594,0.3594,0.3594,0.3594,0.4044,0.4044,0.4044,0.4493,0.4493,0.4942,0.4942,0.4942,0.5391,0.5391,0.5391,0.5391,0.5391,0.5391,0.629,0.629,0.629,0.629,0.6739,0.7638,0.7638,0.7638,0.8986,0.8986,0.9435,0.9435,0.9435,0.9435,0.9435,0.9435,0.9884,1.0334,1.0334,1.0334,1.0334,1.2131,1.3029,1.3479,1.4377,1.5276,1.5276,1.5276,1.7522,1.7522,1.7522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gâmbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0828,0.0828,0.0828,0.0828,0.0828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geórgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251,0.0501,0.0501,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.1003,0.1003,0.1003,0.1003,0.1253,0.1253,0.1253,0.1253,0.1504,0.1504,0.1504,0.1504,0.1504,0.1755,0.2005,0.2256,0.2256,0.2256,0.2256,0.2256,0.2507,0.2507,0.2507,0.2757,0.2757,0.2757,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3008,0.3259,0.3259,0.3259,0.3259,0.3259,0.3259,0.3259,0.3259,0.3259,0.3259,0.3259,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemanha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0024,0.0036,0.0036,0.0084,0.0107,0.0131,0.0203,0.0286,0.0334,0.0525,0.08,0.1003,0.1122,0.1468,0.1874,0.2459,0.3187,0.4082,0.5168,0.6362,0.7698,0.925,1.0981,1.3213,1.5218,1.7235,1.8906,2.1603,2.4062,2.8036,3.1116,3.3025,3.2655,3.6069,3.8122,3.9315,4.5402,4.8362,5.1943,5.322,5.4736,5.803,6.0071,6.3007,6.654,6.8748,7.0145,7.1326,7.3117,7.5361,7.7187,7.9049,8.0397,8.1304,8.1949,8.3465,8.3465,8.683,8.8227,8.9635,9.0101,9.034,9.1438,9.2357,9.3825,9.4099,9.4254,9.4744,9.503,9.5519,9.645,9.7202,9.7907,9.8205,9.8599,9.8861,9.9172,9.9924,10.0592,10.1093,10.1499,10.1809,10.1929,10.2108,10.2203,10.2669,10.3063,10.3337,10.3516,10.3659,10.3779,10.4268,10.4459,10.4698,10.4829,10.4949,10.5044,10.5116,10.5271,10.5641,10.5927,10.607,10.6166,10.6166,10.6214,10.6393,10.656,,,,,
