País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Costa do Marfim,0,0,0,0,0,0,0,5,73,179,349,638,916,1183,1464,1857,2153,2477,3024,3995,5679,7904,9499,11194,13037,14531,15713,16293,16847,17150,17562,18103,18778,19100,19343,19669,19903,20183,20342,20488,20765,20847,20945
Croácia,0,0,0,0,1,9,14,65,382,867,1282,1704,1908,2047,2112,2207,2232,2244,2246,2247,2255,2366,2777,3272,3827,4422,4923,5318,5740,6855,8530,10414,12285,13749,15136,16380,18084,20993,26863,38621,54087,70243,81844
Cuba,0,0,0,0,0,0,0,5,48,186,396,766,1137,1437,1685,1804,1887,1963,2092,2205,2273,2318,2341,2395,2432,2449,2555,2701,3093,3408,3744,4065,4377,4803,5222,5531,5883,6017,6305,6678,7035,7392,7568
Chipre,0,0,0,0,0,0,3,46,124,262,494,695,784,837,878,903,918,939,952,972,985,990,998,1005,1023,1040,1067,1180,1277,1359,1474,1490,1511,1540,1618,1743,1876,2130,2839,3817,4934,6296,7051
República Tcheca,0,0,0,0,0,5,41,396,1394,3308,5017,6111,7033,7504,7896,8221,8647,9050,9364,9751,10111,10650,11954,12685,13341,14324,15799,17286,18783,20483,22548,25117,29877,38896,53158,67843,90022,129747,193946,284033,362985,429880,458229
Dinamarca,0,0,0,0,0,6,264,1025,1718,3039,5266,6706,7891,9049,10019,10789,11242,11627,11934,12201,12450,12761,12968,13089,13262,13506,13811,14314,15291,16246,16905,17509,18784,21013,24261,27941,30868,33594,36877,42668,50106,57472,61593
Diamond Princess,0,0,135,542,691,706,706,706,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,0,0,0,0,0,0,0,0,3,30,90,363,945,1072,1120,1256,1618,2468,3779,4331,4539,4617,4682,4878,4979,5027,5068,5248,5348,5374,5383,5387,5388,5396,5407,5416,5423,5428,5499,5544,5575,5633,5645
Domínica,0,0,0,0,0,0,0,0,2,12,15,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,20,20,22,24,24,30,31,32,33,38,50,63,68
República Dominicana,0,0,0,0,0,1,5,21,312,1109,1956,3286,5044,6416,8480,10900,13223,15264,17752,20415,23686,27936,32568,38430,46305,54797,64690,74295,81094,87123,92217,94979,100131,104803,109269,111900,115371,119008,121973,125008,127848,131131,133225
Equador,0,0,0,0,0,7,15,58,1082,2240,3747,7603,10398,24258,31881,31881,34151,37355,40414,43917,47943,51643,56432,63245,69570,76217,82279,87963,95563,102941,109030,114309,118045,119553,127643,135749,142056,148171,154115,163192,170110,175711,179627
Egito,0,0,0,1,1,2,59,196,402,710,1450,2350,3490,5042,7201,10093,13484,18756,27536,36829,47856,58141,68311,77279,83930,89078,92947,94752,95834,96753,97619,99115,100228,101340,102254,103079,103902,104787,105705,106877,108122,109654,110547
El Salvador,0,0,0,0,0,0,0,0,5,32,78,149,225,345,587,998,1498,2042,2653,3191,3941,4973,6438,8307,10303,12582,15446,18262,21269,23462,24986,25820,26511,27088,27954,28981,29634,30480,31975,32925,34015,35145,36358
Guiné Equatorial,0,0,0,0,0,0,0,1,9,12,16,41,83,315,315,439,825,1043,1306,1306,1664,1664,2001,3071,3071,3071,3071,4821,4821,4821,4926,4965,4985,5000,5018,5030,5052,5066,5074,5083,5089,5102,5104
Eritreia,0,0,0,0,0,0,0,0,1,15,31,34,39,39,39,39,39,39,39,39,121,143,203,215,232,251,265,282,285,304,315,319,341,364,364,375,398,414,452,461,480,491,493
Estónia,0,0,0,0,0,2,12,225,369,745,1149,1373,1552,1660,1711,1746,1791,1834,1870,1947,1975,1982,1989,1995,2015,2022,2038,2091,2167,2200,2294,2395,2564,2722,2976,3315,3659,3908,4127,4465,5125,6376,7412
Essuatíni,0,0,0,0,0,0,0,1,4,9,10,15,31,71,119,184,208,261,294,371,520,674,812,1056,1434,1894,2404,2856,3410,3989,4327,4618,4904,5128,5307,5462,5598,5696,5800,5875,5942,6024,6093
Etiópia,0,0,0,0,0,0,0,5,12,26,52,82,114,126,145,261,365,701,1344,2336,3630,4848,5846,5846,7969,11072,15200,19877,24175,32722,43688,53304,60784,65486,70422,74584,80003,85718,90490,94218,97502,100327,102321
Fiji,0,0,0,0,0,0,0,0,4,5,15,16,18,18,18,18,18,18,18,18,18,18,18,21,26,27,27,27,27,28,28,29,31,32,32,32,32,32,32,33,34,34,35
Finlândia,0,1,1,1,1,6,40,321,792,1418,2308,3161,4014,4740,5412,6003,6399,6628,6887,7025,7112,7155,7214,7262,7301,7351,7404,7483,7623,7776,7981,8142,8337,8725,9195,9892,10929,12499,13849,15163,16637,18107,19102
França,4,6,11,12,14,204,1794,7715,22622,52827,79163,130365,158168,169053,170687,178349,180933,183067,189348,191849,194975,198526,202063,206072,209640,214607,221077,228576,239355,256534,285902,323968,373718,433905,507150,590021,675736,798257,973275,1244242,1549174,1857309,1915713
Gabão,0,0,0,0,0,0,0,1,6,16,30,57,156,238,397,863,1502,2238,2803,3247,4114,4849,5394,5743,6026,6433,7189,7646,8006,8270,8409,8533,8608,8654,8704,8752,8808,8860,8884,8937,8984,9029,9062
Gâmbia,0,0,0,0,0,0,0,1,3,4,4,9,10,10,17,22,24,25,25,28,34,42,49,61,64,112,326,671,1346,2116,2686,3029,3275,3428,3540,3579,3613,3636,3655,3666,3679,3696,3702
Geórgia,0,0,0,0,0,3,15,34,70,110,196,300,408,511,604,642,707,732,796,818,879,911,928,958,999,1049,1145,1182,1264,1351,1429,1510,1729,2562,3913,5866,9245,12841,19857,32127,44522,63650,76658
Alemanha,4,12,16,16,17,196,1457,9257,32986,71808,107663,131359,148291,159912,167007,173171,177778,181200,183879,186506,188252,192480,195418,198343,200456,203717,207707,212828,219540,228120,237583,246015,254957,265014,277412,290471,307127,337314,385591,463419,577131,715693,799733
Gana,0,0,0,0,0,0,0,7,53,161,287,636,1042,1671,2719,5127,6096,7117,8297,10201,12193,14568,17741,21968,24988,28989,34406,37812,41404,42993,43717,44460,45012,45655,46062,46482,46829,47126,47461,47775,48200,49302,50018
Grécia,0,0,0,0,0,7,89,387,743,1314,1832,2170,2401,2566,2642,2744,2840,2892,2937,3058,3148,3302,3409,3589,3883,4048,4279,4855,5942,7472,8987,10524,11832,13730,15928,18123,20541,23060,26469,32752,44246,60570,72510
Granada,0,0,0,0,0,0,0,0,1,9,12,14,14,19,21,21,22,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,27,28,29,32,32
Guatemala,0,0,0,0,0,0,0,6,21,38,77,167,294,530,763,1199,2133,3954,5586,7866,10706,14540,18096,24787,30872,40229,46451,52365,57966,63847,69651,74893,78721,82684,86623,90968,94870,98380,102219,105571,108483,112129,114719
Guiné,0,0,0,0,0,0,0,1,4,22,144,363,688,1240,1811,2298,2863,3275,3886,4258,4639,5040,5391,5636,6200,6652,7126,7489,8018,8715,9128,9479,9848,10111,10387,10634,10863,11134,11538,11819,12213,12484,12585
Guiné-Bissau,0,0,0,0,0,0,0,0,0,8,33,38,50,73,413,820,1038,1178,1339,1389,1492,1556,1654,1790,1842,1954,1954,1981,2088,2117,2149,2205,2245,2275,2324,2324,2385,2389,2403,2403,2413,2419,2419
Guiana,0,0,0,0,0,0,0,7,20,12,33,47,66,74,93,113,125,139,153,156,171,206,245,284,308,339,396,497,602,737,1060,1373,1613,1958,2437,2846,3188,3565,3796,4061,4245,4530,4794
Haiti,0,0,0,0,0,0,0,0,7,15,25,40,57,76,101,209,533,1174,2226,3662,4547,5324,5975,6432,6727,7100,7340,7511,7649,7921,8112,8230,8376,8530,8633,8740,8838,8887,8976,9040,9057,9137,9168
Santa Sé,0,0,0,0,0,0,1,1,4,6,7,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,27,27,27,27,27
Honduras,0,0,0,0,0,0,0,8,30,141,305,407,494,702,1270,2100,2955,4401,5527,6935,9656,13943,19558,25428,29106,35345,40460,44299,48403,51670,55877,61769,65218,68620,72306,76098,80662,84852,90232,94623,98688,100804,102555
Hungria,0,0,0,0,0,0,9,50,187,492,817,1512,2098,2649,3065,3313,3556,3771,3921,4017,4077,4107,4155,4205,4258,4347,4456,4553,4746,4970,5215,6257,9304,13879,19499,25567,32298,39862,48757,63642,86769,118918,136723
Islândia,0,0,0,0,0,11,69,220,648,1135,1586,1720,1778,1795,1799,1801,1802,1804,1806,1807,1812,1815,1824,1833,1835,1839,1857,1918,1968,2027,2077,2116,2150,2174,2419,2695,3081,3668,4193,4574,4957,5114,5186
