País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Brunei,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,
Bulgária,2.0,3.0,7.0,17.0,28.0,41.0,55.0,72.0,90.0,105.0,126.0,139.0,160.0,172.0,199.0,216.0,241.0,267.0,299.0,338.0,385.0,445.0,495.0,539.0,605.0,671.0,717.0,755.0,789.0,841.0,891.0,968.0,1084.0,1279.0,1632.0,2091.0,2820.0,3749.0,4729.0,5626.0,6551.0,7123.0,7644.0,8097.0,8396.0,,,,,,,
Burkina Faso,0.0,4.0,12.0,18.0,27.0,38.0,42.0,46.0,50.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,59.0,63.0,65.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,71.0,76.0,78.0,86.0,89.0,97.0,,,,,,,
Myanmar,1.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,14.0,61.0,155.0,321.0,535.0,765.0,1005.0,1199.0,1352.0,1508.0,1676.0,1846.0,2028.0,2201.0,2377.0,2532.0,2682.0,2799.0,2912.0,,,,,,,,,,
Burundi,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,
Cabo Verde,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,15.0,18.0,19.0,21.0,23.0,27.0,33.0,37.0,38.0,41.0,43.0,49.0,55.0,61.0,71.0,79.0,91.0,95.0,97.0,102.0,104.0,105.0,107.0,109.0,110.0,112.0,113.0,113.0,115.0,,,,,,,,,
Camboja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Camarões,0.0,0.0,1.0,7.0,10.0,22.0,43.0,61.0,108.0,139.0,156.0,175.0,203.0,212.0,276.0,313.0,313.0,359.0,373.0,382.0,391.0,391.0,401.0,408.0,411.0,415.0,415.0,415.0,418.0,418.0,423.0,423.0,425.0,426.0,429.0,433.0,435.0,437.0,441.0,443.0,445.0,448.0,448.0,448.0,451.0,,,,,,,
Canadá,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,61.0,218.0,654.0,1401.0,2571.0,3684.0,4823.0,5800.0,6466.0,7159.0,7850.0,8183.0,8466.0,8576.0,8732.0,8818.0,8892.0,8929.0,8986.0,9024.0,9072.0,9117.0,9161.0,9192.0,9220.0,9262.0,9313.0,9488.0,9661.0,9782.0,9969.0,10187.0,10547.0,10947.0,11455.0,11993.0,12607.0,13367.0,14171.0,14834.0,15707.0,16869.0,17559.0,
República Centro-Africana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,19.0,45.0,48.0,53.0,55.0,59.0,59.0,59.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,
Chade,0.0,0.0,0.0,0.0,0.0,2.0,17.0,42.0,57.0,64.0,66.0,72.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,76.0,76.0,77.0,77.0,79.0,81.0,82.0,85.0,89.0,92.0,96.0,97.0,99.0,99.0,101.0,101.0,102.0,102.0,102.0,102.0,104.0,105.0,109.0,110.0,,,,,,,,
Chile,0.0,0.0,0.0,0.0,6.0,27.0,73.0,126.0,181.0,247.0,304.0,421.0,673.0,997.0,1541.0,3101.0,4295.0,5347.0,6192.0,6881.0,8445.0,9020.0,9533.0,10011.0,10395.0,10792.0,11181.0,11551.0,11895.0,12254.0,12591.0,12919.0,13272.0,13588.0,13892.0,14207.0,14499.0,14777.0,15030.0,15322.0,15592.0,15846.0,16101.0,16404.0,16724.0,17037.0,17294.0,,,,,
China,131.0,491.0,1112.0,2003.0,2665.0,2947.0,3139.0,3230.0,3281.0,3309.0,3335.0,3345.0,4636.0,4637.0,4637.0,4637.0,4638.0,4638.0,4638.0,4638.0,4638.0,4640.0,4641.0,4641.0,4642.0,4648.0,4657.0,4676.0,4693.0,4705.0,4712.0,4724.0,4733.0,4736.0,4737.0,4739.0,4739.0,4739.0,4739.0,4739.0,4739.0,4742.0,4742.0,4742.0,4743.0,4746.0,4757.0,4766.0,4777.0,4787.0,4794.0,4796.0
Colômbia,0.0,0.0,6.0,19.0,69.0,144.0,215.0,293.0,407.0,525.0,652.0,822.0,1087.0,1488.0,1950.0,2654.0,3641.0,4714.0,6029.0,7688.0,9810.0,11939.0,14145.0,16183.0,18467.0,20618.0,22275.0,23665.0,24746.0,26196.0,27180.0,28457.0,29637.0,30926.0,32209.0,33491.0,34761.0,36019.0,37305.0,38484.0,39787.0,41454.0,43213.0,45067.0,47491.0,,,,,,,
Comores,1.0,1.0,1.0,2.0,2.0,2.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,13.0,33.0,38.0,,,,,,,,,,,,,,
República do Congo,0.0,0.0,2.0,5.0,6.0,6.0,9.0,10.0,15.0,16.0,19.0,22.0,24.0,27.0,37.0,44.0,47.0,49.0,51.0,54.0,58.0,60.0,77.0,78.0,102.0,114.0,89.0,89.0,89.0,90.0,92.0,92.0,92.0,92.0,92.0,93.0,94.0,94.0,99.0,100.0,107.0,108.0,108.0,112.0,,,,,,,,
República Democrática do Congo,0.0,2.0,8.0,18.0,20.0,25.0,30.0,34.0,44.0,61.0,68.0,72.0,90.0,112.0,135.0,170.0,182.0,190.0,196.0,208.0,215.0,225.0,243.0,251.0,259.0,260.0,267.0,271.0,272.0,274.0,276.0,303.0,305.0,315.0,316.0,322.0,331.0,335.0,344.0,358.0,370.0,584.0,599.0,625.0,626.0,,,,,,,
Costa Rica,0.0,1.0,2.0,2.0,3.0,4.0,6.0,6.0,6.0,8.0,10.0,10.0,10.0,12.0,12.0,12.0,18.0,25.0,42.0,80.0,140.0,200.0,272.0,333.0,397.0,460.0,567.0,666.0,795.0,917.0,1040.0,1159.0,1251.0,1357.0,1444.0,1527.0,1599.0,1679.0,1757.0,1882.0,1980.0,2086.0,2185.0,2286.0,2401.0,,,,,,,
